Food Item (खाद्य पदार्थ),Category (श्रेणी),Calories (per 100g),Protein (g),Carbs (g),Fat (g),Rasa (Taste) (रस),Virya (Potency) (वीर्य),Guna (Quality) (गुण),Vipaka (Post-digestive) (विपाक),Suitable for (Vata/Pitta/Kapha),Notes (Digestion / Special Effects)
Rice (चावल),Grains,130,2.7,28,0.3,Sweet (मधुर),Cooling (शीत),"Light, Soft (लघु, मृदु)",Sweet (मधुर),"Balances V, P. Can increase K.","Easy to digest, provides energy."
Brown Rice (भूरा चावल),Grains,111,2.6,23,0.9,Sweet (मधुर),Cooling (शीत),"Heavy, Dry (गुरु, रूक्ष)",Sweet (मधुर),"Balances P. Can increase V, K.","More fiber, harder to digest than white rice."
Whole Wheat (गेहूं),Grains,340,13.2,72,2.5,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V, P. Increases K.",Nourishing and strengthening. Can be heavy.
Barley (जौ),Grains,354,12.5,73.5,2.3,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances P, K. Can increase V.","Excellent for managing Kapha, diuretic."
Oats (जई),Grains,389,16.9,66.3,6.9,Sweet (मधुर),Cooling (शीत),"Heavy, Moist (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V, P. Can increase K.","Strengthening, good for post-illness recovery."
Quinoa (क्विनोआ),Grains,368,14,64,6,"Sweet, Astringent (मधुर, कषाय)",Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances K, P. Can increase V.","A complete protein, good alternative to rice."
Jowar (ज्वार),Millets,339,11.3,75,3.3,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances P, K. Increases V.","Gluten-free, cooling for the body."
Bajra (बाजरा),Millets,378,11,67,5,"Sweet, Astringent (मधुर, कषाय)",Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances V, K. Can increase P.","Heating nature, best for winter. Very strengthening."
Ragi (रागी),Millets,336,7.7,72.6,1.5,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances P, K. Can slightly increase V.","Rich in calcium, grounding, good for bones."
Corn (मक्का),Grains,86,3.2,19,1.2,Sweet (मधुर),Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances P, K. Can increase V.",Can be drying; best cooked with some fat.
Amaranth (राजगिरा),Grains,371,14,65,7,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances P, K. Can increase V.",Gluten-free and high in protein. Often used during fasting.
Buckwheat (कुट्टू),Grains,343,13,72,3.4,"Sweet, Astringent (मधुर, कषाय)",Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances K, V. Can increase P.",Warming and drying. Another common grain for fasting.
Foxtail Millet (कंगनी),Millets,351,11.2,63.2,4.3,"Sweet, Astringent (मधुर, कषाय)",Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances K, V. Can slightly increase P.",Good for balancing blood sugar. Easy to digest.
Barnyard Millet (साँवा चावल),Millets,307,6.2,65.5,2.2,Sweet (मधुर),Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances P, K. Can increase V.",Very light and easy to digest. Often used as a rice substitute during fasts.
Kodo Millet (कोदो),Millets,309,8.3,65.9,1.4,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances P, K. Can increase V.",Common in Chhattisgarh. Detoxifying and rich in fiber.
Little Millet (कुटकी),Millets,341,7.7,67,4.7,Sweet (मधुर),Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances all doshas, especially Pitta.","A very balancing millet, good for calming Pitta."
Proso Millet (चेना),Millets,378,12.5,70,5.2,Sweet (मधुर),Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances K, V. Can increase P.","Gluten-free, has a low glycemic index."
